1000;33347914;425.376;12;55.0
950;33347914;420.252;12;55.0
900;33347914;333.249;12;55.0
850;33347914;334.87;12;55.0
800;33347914;316.917;12;53.0
750;16694638;304.556;24;57.0
700;16694638;320.337;24;57.0
650;16694638;313.232;24;57.0
600;16694638;311.353;24;57.0
550;16694638;310.599;24;57.0
500;16694638;311.289;24;57.0
450;16694638;309.867;24;57.0
400;16694638;310.285;24;57.0
350;16694638;310.097;24;57.0
300;16694638;311.015;24;57.0
250;16694638;309.996;24;57.0
200;16694638;310.312;24;57.0
150;16694638;310.318;24;57.0
100;16694638;309.165;24;57.0
50;16694638;310.08;24;57.0
5;16694638;310.427;24;57.0
